player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",TB,2020,1,REG,23,36,239.0,2,2.0,3.0,15.0,1,0,292.0,90.0,10.0,-9.496858,0,0.8184931,0.068936914,3,9.0,1,0.0,0.0,2.0,1.5054479,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,20.46,20.46
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",TB,2020,2,REG,23,35,217.0,1,1.0,0.0,-0.0,0,0,234.0,110.0,11.0,0.52437973,0,0.9273504,0.0763557,1,0.0,0,1.0,1.0,0.0,-5.4885907,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,8.68,8.68
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",TB,2020,3,REG,25,38,297.0,3,0.0,2.0,12.0,0,0,311.0,111.0,12.0,11.559702,0,0.95498395,0.15510345,5,0.0,0,1.0,0.0,0.0,-3.811726,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,23.88,23.88
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",TB,2020,4,REG,30,46,369.0,5,1.0,0.0,-0.0,0,0,431.0,109.0,20.0,12.6856365,0,0.8561485,0.21388371,3,-3.0,0,0.0,0.0,0.0,-1.1660742,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,32.46,32.46
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",TB,2020,5,REG,25,41,253.0,1,0.0,3.0,20.0,0,0,383.0,100.0,11.0,0.32756782,0,0.66057444,0.03788063,3,0.0,0,1.0,0.0,1.0,1.1466213,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.12,14.12
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",TB,2020,6,REG,17,27,166.0,2,0.0,0.0,-0.0,0,0,231.0,72.0,9.0,6.482449,0,0.7186147,0.20448145,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.64,14.64
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",TB,2020,7,REG,33,45,369.0,4,0.0,0.0,-0.0,0,0,399.0,134.0,22.0,26.7001,0,0.924812,0.3451253,1,1.0,1,0.0,0.0,1.0,1.1775947,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,36.86,36.86
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",TB,2020,8,REG,28,40,279.0,2,0.0,2.0,16.0,0,0,364.0,94.0,18.0,10.680832,0,0.76648355,0.18719228,1,-1.0,0,0.0,0.0,0.0,-1.3308029,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,19.06,19.06
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",TB,2020,9,REG,22,38,209.0,0,3.0,3.0,23.0,0,0,365.0,80.0,10.0,-23.323347,0,0.57260275,0.023745965,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,2.36,2.36
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n7fj5fjblf6pdgjdtphr",TB,2020,10,REG,28,39,341.0,3,0.0,1.0,7.0,0,0,324.0,168.0,18.0,28.041578,0,1.0524691,0.31525254,2,2.0,1,0.0,0.0,1.0,-0.40760535,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,31.84,31.84
