PLAYER,TEAM,GP,W,L,MIN,REB,ContestedRebs,ContestedRebs%,"REB
CHANCES","REB
CHANCE%",DeferredRebChances,AdjRebChance%,"AVG REB
DISTANCE"

Chimezie Metu,PHX,1,0,1,33.6,19.0,9.0,47.4,20.0,95.0,1.0,100,5.7
Jarrett Allen,CLE,1,1,0,35.0,17.0,7.0,41.2,23.0,73.9,1.0,77.3,5.9
Rudy Gobert,MIN,1,1,0,39.2,17.0,6.0,35.3,28.0,60.7,1.0,63.0,5.1
Bam Adebayo,MIA,1,1,0,36.3,15.0,7.0,46.7,20.0,75.0,0.0,75.0,5.3
Nick Richards,CHA,1,0,1,38.1,15.0,7.0,46.7,24.0,62.5,1.0,65.2,8.0
Nikola Jokic,DEN,1,1,0,39.1,14.0,7.0,50.0,19.0,73.7,3.0,87.5,7.6
Scottie Barnes,TOR,1,0,1,37.9,14.0,10.0,71.4,19.0,73.7,1.0,77.8,4.2
Anthony Davis,LAL,1,0,1,38.8,13.0,4.0,30.8,19.0,68.4,1.0,72.2,7.1
Giannis Antetokounmpo,MIL,1,0,1,38.7,13.0,4.0,30.8,20.0,65.0,1.0,68.4,5.9
Clint Capela,ATL,1,0,1,30.3,12.0,7.0,58.3,26.0,46.2,1.0,48.0,4.3
Nikola Vucevic,CHI,1,0,1,33.5,12.0,4.0,33.3,23.0,52.2,1.0,54.5,5.1
Alperen Sengun,HOU,1,1,0,38.4,11.0,2.0,18.2,26.0,42.3,3.0,47.8,6.2
Bismack Biyombo,MEM,1,1,0,29.1,11.0,7.0,63.6,17.0,64.7,1.0,68.8,7.6
Jabari Smith Jr.,HOU,1,1,0,37.3,11.0,7.0,63.6,13.0,84.6,1.0,91.7,5.2
Jonas Valanciunas,NOP,1,0,1,25.7,11.0,3.0,27.3,20.0,55.0,3.0,64.7,3.5
Kristaps Porzingis,BOS,1,1,0,35.3,11.0,2.0,18.2,18.0,61.1,0.0,61.1,2.9
Vince Williams Jr.,MEM,1,1,0,35.1,11.0,2.0,18.2,21.0,52.4,1.0,55.0,8.2
Aaron Gordon,DEN,1,1,0,31.6,10.0,4.0,40.0,17.0,58.8,1.0,62.5,6.2
Chet Holmgren,OKC,1,0,1,34.1,10.0,3.0,30.0,20.0,50.0,2.0,55.6,5.0
Dereck Lively II,DAL,1,1,0,31.6,10.0,4.0,40.0,15.0,66.7,2.0,76.9,4.0
Domantas Sabonis,SAC,1,0,1,39.0,10.0,1.0,10.0,20.0,50.0,3.0,58.8,9.3
Ivica Zubac,LAC,1,0,1,26.8,10.0,3.0,30.0,17.0,58.8,0.0,58.8,4.1
Jaime Jaquez Jr.,MIA,1,1,0,39.5,10.0,5.0,50.0,16.0,62.5,2.0,71.4,5.9
Kevin Love,MIA,1,1,0,16.0,10.0,3.0,30.0,16.0,62.5,3.0,76.9,7.4
Michael Porter Jr.,DEN,1,1,0,40.5,10.0,4.0,40.0,18.0,55.6,1.0,58.8,10.8
Bobby Portis,MIL,1,0,1,30.6,9.0,4.0,44.4,16.0,56.3,1.0,60.0,6.7
Brandin Podziemski,GSW,1,0,1,34.4,9.0,3.0,33.3,13.0,69.2,1.0,75.0,6.3
Jeremy Sochan,SAS,1,0,1,29.9,9.0,4.0,44.4,16.0,56.3,0.0,56.3,5.2
Josh Hart,NYK,1,1,0,30.9,9.0,1.0,11.1,15.0,60.0,2.0,69.2,11.3
Julius Randle,NYK,1,1,0,41.0,9.0,3.0,33.3,13.0,69.2,1.0,75.0,6.3
Lauri Markkanen,UTA,1,1,0,38.7,9.0,6.0,66.7,15.0,60.0,0.0,60.0,5.6
LeBron James,LAL,1,0,1,36.8,9.0,4.0,44.4,14.0,64.3,1.0,69.2,7.2
Pascal Siakam,TOR,1,0,1,36.0,9.0,1.0,11.1,14.0,64.3,1.0,69.2,8.0
Bojan Bogdanovic,DET,1,0,1,38.8,8.0,3.0,37.5,13.0,61.5,1.0,66.7,10.0
Isaiah Hartenstein,NYK,1,1,0,32.7,8.0,4.0,50.0,14.0,57.1,0.0,57.1,3.6
Jayson Tatum,BOS,1,1,0,41.2,8.0,0.0,0.0,13.0,61.5,3.0,80.0,5.4
Kevin Durant,PHX,1,0,1,42.6,8.0,2.0,25.0,11.0,72.7,0.0,72.7,9.7
Kris Dunn,UTA,1,1,0,34.3,8.0,1.0,12.5,10.0,80.0,1.0,88.9,5.4
P.J. Washington,CHA,1,0,1,28.3,8.0,1.0,12.5,15.0,53.3,0.0,53.3,4.4
Walker Kessler,UTA,1,1,0,25.3,8.0,5.0,62.5,16.0,50.0,2.0,57.1,4.1
Wendell Carter Jr.,ORL,1,1,0,16.5,8.0,4.0,50.0,13.0,61.5,0.0,61.5,3.1
Zion Williamson,NOP,1,0,1,34.3,8.0,1.0,12.5,13.0,61.5,0.0,61.5,6.3
Buddy Hield,IND,1,0,1,38.5,7.0,0.0,0.0,13.0,53.8,1.0,58.3,6.3
Craig Porter Jr.,CLE,1,1,0,39.4,7.0,0.0,0.0,11.0,63.6,2.0,77.8,5.5
De'Anthony Melton,PHI,1,0,1,36.5,7.0,3.0,42.9,12.0,58.3,0.0,58.3,5.3
Dean Wade,CLE,1,1,0,36.3,7.0,0.0,0.0,9.0,77.8,0.0,77.8,5.6
Drew Eubanks,PHX,1,0,1,17.1,7.0,4.0,57.1,13.0,53.8,1.0,58.3,4.0
Jrue Holiday,BOS,1,1,0,38.3,7.0,3.0,42.9,9.0,77.8,0.0,77.8,8.6
Keegan Murray,SAC,1,0,1,39.7,7.0,0.0,0.0,8.0,87.5,0.0,87.5,8.3
Kelly Oubre Jr.,PHI,1,0,1,39.6,7.0,0.0,0.0,10.0,70.0,0.0,70.0,8.3
Mike Conley,MIN,1,1,0,31.7,7.0,3.0,42.9,10.0,70.0,0.0,70.0,9.7
Miles Bridges,CHA,1,0,1,37.6,7.0,2.0,28.6,18.0,38.9,2.0,43.8,3.5
Myles Turner,IND,1,0,1,29.3,7.0,3.0,42.9,12.0,58.3,2.0,70.0,4.0
Nic Claxton,BKN,1,1,0,29.6,7.0,3.0,42.9,14.0,50.0,1.0,53.8,5.4
Onyeka Okongwu,ATL,1,0,1,27.6,7.0,4.0,57.1,13.0,53.8,0.0,53.8,6.3
Paolo Banchero,ORL,1,1,0,36.2,7.0,2.0,28.6,13.0,53.8,0.0,53.8,3.7
Pat Connaughton,MIL,1,0,1,23.9,7.0,2.0,28.6,11.0,63.6,1.0,70.0,8.0
