PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,SecondaryAssists,PotentialAssists,AssistPointsCreated,AdjustedAssists,AstToPass%,AdjAstToPass%,"AST TO
PASS% ADJ"

Damian Lillard,MIL,1,1,0,36.7,36.0,48.0,11.0,0.0,9.0,25.0,11.0,30.6,30.6
Chris Paul,GSW,1,1,0,31.6,64.0,65.0,8.0,0.0,18.0,17.0,8.0,12.5,12.5
Devin Booker,PHX,1,1,0,41.4,62.0,88.0,8.0,2.0,18.0,18.0,10.0,12.9,16.1
Stephen Curry,GSW,1,1,0,31.2,40.0,54.0,8.0,1.0,10.0,18.0,9.0,20.0,22.5
Anfernee Simons,POR,1,0,1,35.6,44.0,63.0,7.0,0.0,11.0,17.0,7.0,15.9,15.9
Naji Marshall,NOP,1,1,0,19.6,37.0,33.0,7.0,0.0,7.0,19.0,7.0,18.9,18.9
Franz Wagner,ORL,1,0,1,36.7,46.0,47.0,6.0,0.0,13.0,17.0,7.0,13.0,15.2
Jaylen Brown,BOS,1,1,0,34.0,27.0,42.0,6.0,0.0,6.0,14.0,6.0,22.2,22.2
Jerami Grant,POR,1,0,1,40.8,22.0,33.0,6.0,0.0,6.0,15.0,5.0,27.3,22.7
Jordan Goodwin,PHX,1,1,0,20.1,35.0,27.0,6.0,0.0,6.0,14.0,6.0,17.1,17.1
Brandin Podziemski,GSW,1,1,0,33.4,39.0,32.0,5.0,0.0,9.0,14.0,5.0,12.8,12.8
Jusuf Nurkic,PHX,1,1,0,30.1,52.0,29.0,5.0,0.0,7.0,11.0,5.0,9.6,9.6
Kevin Durant,PHX,1,1,0,34.8,47.0,63.0,5.0,2.0,8.0,13.0,8.0,10.6,17.0
Malcolm Brogdon,POR,1,0,1,26.7,24.0,21.0,5.0,0.0,8.0,16.0,6.0,20.8,25.0
Tre Jones,SAS,1,0,1,15.9,31.0,32.0,5.0,0.0,9.0,12.0,5.0,16.1,16.1
Andre Jackson Jr.,MIL,1,1,0,36.4,24.0,18.0,4.0,2.0,4.0,12.0,6.0,16.7,25.0
Brandon Ingram,NOP,1,1,0,26.9,37.0,46.0,4.0,3.0,12.0,12.0,9.0,10.8,24.3
Cody Zeller,NOP,1,1,0,18.5,32.0,22.0,4.0,0.0,2.0,8.0,4.0,12.5,12.5
Cole Anthony,ORL,1,0,1,18.7,34.0,38.0,4.0,0.0,8.0,13.0,5.0,11.8,14.7
Derrick White,BOS,1,1,0,27.4,35.0,35.0,4.0,1.0,8.0,11.0,5.0,11.4,14.3
Dyson Daniels,NOP,1,1,0,17.6,20.0,16.0,4.0,0.0,5.0,10.0,4.0,20.0,20.0
Jeremy Sochan,SAS,1,0,1,25.5,29.0,25.0,4.0,0.0,7.0,9.0,4.0,13.8,13.8
Jose Alvarado,NOP,1,1,0,21.7,31.0,34.0,4.0,0.0,5.0,10.0,4.0,12.9,12.9
Pat Connaughton,MIL,1,1,0,17.1,19.0,13.0,4.0,0.0,3.0,10.0,4.0,21.1,21.1
Trey Murphy III,NOP,1,1,0,24.7,21.0,20.0,4.0,0.0,5.0,11.0,4.0,19.0,19.0
Victor Wembanyama,SAS,1,0,1,31.1,31.0,33.0,4.0,1.0,5.0,11.0,6.0,12.9,19.4
Anthony Black,ORL,1,0,1,16.9,20.0,20.0,3.0,0.0,3.0,9.0,4.0,15.0,20.0
Devin Vassell,SAS,1,0,1,29.7,38.0,41.0,3.0,1.0,5.0,7.0,4.0,7.9,10.5
Giannis Antetokounmpo,MIL,1,1,0,39.2,51.0,59.0,3.0,2.0,9.0,8.0,5.0,5.9,9.8
Grayson Allen,PHX,1,1,0,33.3,44.0,38.0,3.0,2.0,7.0,8.0,6.0,6.8,13.6
Herbert Jones,NOP,1,1,0,19.0,19.0,17.0,3.0,1.0,3.0,7.0,4.0,15.8,21.1
Jayson Tatum,BOS,1,1,0,30.9,38.0,44.0,3.0,0.0,6.0,7.0,3.0,7.9,7.9
