PLAYER,TEAM,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,SecondaryAssists,PotentialAssists,AssistPointsCreated,AdjustedAssists,AstToPass%,AdjAstToPass%

Kevin Durant,PHX,1,1,0,41.1,65.0,62.0,16.0,0.0,18.0,42.0,18.0,24.6,27.7
Trae Young,ATL,1,0,1,39.5,71.0,86.0,13.0,0.0,23.0,33.0,14.0,18.3,19.7
Derrick White,BOS,1,1,0,35.3,51.0,54.0,11.0,0.0,10.0,28.0,11.0,21.6,21.6
Pascal Siakam,TOR,1,1,0,31.8,44.0,53.0,11.0,0.0,13.0,30.0,13.0,25.0,29.5
Scoot Henderson,POR,1,1,0,28.0,44.0,56.0,11.0,1.0,17.0,33.0,14.0,25.0,31.8
Dennis Schroder,TOR,1,1,0,28.4,51.0,54.0,10.0,4.0,18.0,27.0,15.0,19.6,29.4
Khris Middleton,MIL,1,1,0,31.7,49.0,59.0,10.0,1.0,14.0,26.0,12.0,20.4,24.5
Tyrese Haliburton,IND,1,1,0,37.6,76.0,83.0,10.0,0.0,24.0,33.0,13.0,13.2,17.1
Dennis Smith Jr.,BKN,1,0,1,30.1,61.0,69.0,8.0,0.0,11.0,17.0,8.0,13.1,13.1
Giannis Antetokounmpo,MIL,1,1,0,30.5,46.0,52.0,8.0,3.0,18.0,22.0,11.0,17.4,23.9
James Harden,LAC,1,1,0,40.5,59.0,65.0,8.0,1.0,19.0,22.0,10.0,13.6,16.9
Jordan Clarkson,UTA,1,1,0,27.0,29.0,46.0,8.0,0.0,10.0,21.0,9.0,27.6,31.0
LeBron James,LAL,1,0,1,36.8,61.0,65.0,8.0,0.0,15.0,21.0,9.0,13.1,14.8
Nikola Jokic,DEN,1,1,0,39.1,96.0,78.0,8.0,1.0,20.0,20.0,11.0,8.3,11.5
Scottie Barnes,TOR,1,1,0,33.5,55.0,48.0,8.0,0.0,10.0,17.0,8.0,14.5,14.5
Shai Gilgeous-Alexander,OKC,1,1,0,36.4,42.0,59.0,8.0,2.0,15.0,22.0,11.0,19.0,26.2
Brandon Ingram,NOP,1,0,1,41.9,48.0,63.0,7.0,1.0,19.0,18.0,9.0,14.6,18.8
Caris LeVert,CLE,1,1,0,28.0,34.0,57.0,7.0,0.0,6.0,18.0,7.0,20.6,20.6
Craig Porter Jr.,CLE,1,1,0,29.6,69.0,69.0,7.0,1.0,18.0,20.0,9.0,10.1,13.0
Desmond Bane,MEM,1,1,0,40.4,60.0,68.0,7.0,1.0,13.0,19.0,9.0,11.7,15.0
Devin Booker,PHX,1,1,0,35.8,48.0,64.0,7.0,2.0,10.0,20.0,10.0,14.6,20.8
Ja Morant,MEM,1,1,0,39.7,57.0,76.0,7.0,2.0,15.0,20.0,10.0,12.3,17.5
Jalen Brunson,NYK,1,0,1,36.8,71.0,87.0,7.0,2.0,15.0,23.0,11.0,9.9,15.5
Jayson Tatum,BOS,1,1,0,41.2,42.0,44.0,7.0,0.0,8.0,18.0,8.0,16.7,19.0
Jrue Holiday,BOS,1,1,0,38.3,54.0,46.0,7.0,2.0,12.0,16.0,9.0,13.0,16.7
Kyle Kuzma,WAS,1,0,1,30.0,38.0,45.0,7.0,1.0,7.0,15.0,8.0,18.4,21.1
Terry Rozier,CHA,1,0,1,39.4,72.0,87.0,7.0,5.0,14.0,18.0,13.0,9.7,18.1
Tre Jones,SAS,1,0,1,27.0,56.0,55.0,7.0,0.0,17.0,19.0,7.0,12.5,12.5
Andrew Nembhard,IND,1,1,0,34.0,51.0,54.0,6.0,4.0,9.0,17.0,10.0,11.8,19.6
Anthony Edwards,MIN,1,0,1,34.1,36.0,43.0,6.0,0.0,7.0,17.0,6.0,16.7,16.7
Brandin Podziemski,GSW,1,0,1,34.4,45.0,31.0,6.0,0.0,12.0,16.0,7.0,13.3,15.6
Cameron Payne,MIL,1,1,0,22.8,38.0,38.0,6.0,1.0,4.0,15.0,7.0,15.8,18.4
Collin Sexton,UTA,1,1,0,28.9,42.0,49.0,6.0,2.0,10.0,17.0,9.0,14.3,21.4
D'Angelo Russell,LAL,1,0,1,17.8,28.0,28.0,6.0,0.0,8.0,17.0,7.0,21.4,25.0
Dante Exum,DAL,1,0,1,33.3,40.0,41.0,6.0,0.0,7.0,15.0,6.0,15.0,15.0
DeMar DeRozan,CHI,1,1,0,40.3,38.0,57.0,6.0,1.0,8.0,14.0,7.0,15.8,18.4
Fred VanVleet,HOU,1,0,1,29.1,41.0,46.0,6.0,0.0,11.0,16.0,7.0,14.6,17.1
Jarrett Allen,CLE,1,1,0,35.5,60.0,52.0,6.0,0.0,8.0,14.0,6.0,10.0,10.0
Josh Hart,NYK,1,0,1,33.9,35.0,20.0,6.0,1.0,6.0,16.0,7.0,17.1,20.0
Kelly Olynyk,UTA,1,1,0,23.4,42.0,35.0,6.0,1.0,12.0,12.0,7.0,14.3,16.7
Kris Dunn,UTA,1,1,0,18.8,42.0,35.0,6.0,0.0,10.0,16.0,6.0,14.3,14.3
Luka Doncic,DAL,1,0,1,36.6,55.0,65.0,6.0,0.0,18.0,16.0,7.0,10.9,12.7
Malcolm Brogdon,POR,1,1,0,29.6,32.0,39.0,6.0,0.0,5.0,14.0,6.0,18.8,18.8
Max Strus,CLE,1,1,0,33.6,57.0,57.0,6.0,0.0,10.0,14.0,6.0,10.5,10.5
Russell Westbrook,LAC,1,1,0,27.5,37.0,29.0,6.0,0.0,11.0,16.0,8.0,16.2,21.6
Alex Caruso,CHI,1,1,0,29.2,54.0,42.0,5.0,1.0,5.0,12.0,6.0,9.3,11.1
Bam Adebayo,MIA,1,1,0,36.3,52.0,51.0,5.0,1.0,6.0,13.0,6.0,9.6,11.5
